,fluxes,equ,ec-code,kcat_MW,E
EX_12ppd__S_e,0.0,12ppd__S_e --> ,,,
EX_13dampp_e,0.0,13dampp_e --> ,,,
EX_23dhbzs3_e,0.0,23dhbzs3_e --> ,,,
EX_25dkglcn_e,0.0,25dkglcn_e --> ,,,
EX_2ameph_e,0.0,2ameph_e --> ,,,
EX_2dhglcn_e,0.0,2dhglcn_e --> ,,,
EX_2hxmp_e,0.0,2hxmp_e --> ,,,
EX_2m35mdntha_e,0.0,2m35mdntha_e --> ,,,
EX_2pglyc_e,0.0,2pglyc_e --> ,,,
EX_34dhbz_e,0.0,34dhbz_e --> ,,,
EX_34dhcinm_e,0.0,34dhcinm_e --> ,,,
EX_34dhpac_e,0.0,34dhpac_e --> ,,,
EX_34dhphe_e,0.0,34dhphe_e --> ,,,
EX_35dnta_e,0.0,35dnta_e --> ,,,
EX_3amp_e,0.0,3amp_e --> ,,,
EX_3cmp_e,0.0,3cmp_e --> ,,,
EX_3gmp_e,0.0,3gmp_e --> ,,,
EX_3h4atb_e,0.0,3h4atb_e --> ,,,
EX_3hoxpac_e,0.0,3hoxpac_e --> ,,,
EX_3mb_e,0.0,3mb_e --> ,,,
EX_3oxoadp_e,0.0,3oxoadp_e --> ,,,
EX_3ump_e,0.0,3ump_e --> ,,,
EX_4abut_e,0.0,4abut_e --> ,,,
EX_4ahmmp_e,0.0,4ahmmp_e --> ,,,
EX_4hba_e,0.0,4hba_e --> ,,,
EX_4hbald_e,0.0,4hbald_e --> ,,,
EX_4hbz_e,0.0,4hbz_e --> ,,,
EX_4hoxpacd_e,0.0,4hoxpacd_e --> ,,,
EX_4hphac_e,0.0,4hphac_e --> ,,,
EX_4hpro_DC_e,0.0,4hpro_DC_e --> ,,,
EX_4hpro_LT_e,0.0,4hpro_LT_e --> ,,,
EX_4hptn_e,0.0,4hptn_e --> ,,,
EX_4oxptn_e,0.0,4oxptn_e --> ,,,
EX_5aptn_e,0.0,5aptn_e --> ,,,
EX_5dglcn_e,0.0,5dglcn_e --> ,,,
EX_5mcsn_e,0.0,5mcsn_e --> ,,,
EX_6apa_e,0.0,6apa_e --> ,,,
EX_6atha_e,0.0,6atha_e --> ,,,
EX_6hnac_e,0.0,6hnac_e --> ,,,
EX_LalaDgluMdapDala_e,0.0,LalaDgluMdapDala_e --> ,,,
EX_LalaDglu_e,0.0,LalaDglu_e --> ,,,
EX_LalaLglu_e,0.0,LalaLglu_e --> ,,,
EX_Lcyst_e,0.0,Lcyst_e --> ,,,
EX_R_3h4atba_e,0.0,R_3h4atba_e --> ,,,
EX_R_3hhdca_e,0.0,R_3hhdca_e --> ,,,
EX_R_3hppta_e,0.0,R_3hppta_e --> ,,,
EX_R_3hpt_e,0.0,R_3hpt_e --> ,,,
EX_abg4_e,0.0,abg4_e --> ,,,
EX_abt__D_e,0.0,abt__D_e --> ,,,
EX_abt__L_e,0.0,abt__L_e --> ,,,
EX_abt_e,0.0,abt_e --> ,,,
EX_ac_e,0.0,ac_e --> ,,,
EX_acald_e,723.8108240751216,acald_e --> ,,,
EX_acgam_e,0.0,acgam_e --> ,,,
EX_acmana_e,0.0,acmana_e --> ,,,
EX_acnam_e,0.0,acnam_e --> ,,,
EX_acon_C_e,0.0,acon_C_e --> ,,,
EX_acser_e,0.0,acser_e --> ,,,
EX_actn__R_e,0.0,actn__R_e --> ,,,
EX_acysbmn_e,0.0,acysbmn_e --> ,,,
EX_ad_e,0.0,ad_e --> ,,,
EX_ade_e,0.0,ade_e --> ,,,
EX_adn_e,0.0,adn_e --> ,,,
EX_agm_e,0.0,agm_e --> ,,,
EX_airs_e,0.0,airs_e --> ,,,
EX_akg_e,0.0,akg_e --> ,,,
EX_ala_B_e,0.0,ala_B_e --> ,,,
EX_ala_L_asp__L_e,0.0,ala_L_asp__L_e --> ,,,
EX_ala_L_glu__L_e,0.0,ala_L_glu__L_e --> ,,,
EX_ala_L_thr__L_e,0.0,ala_L_thr__L_e --> ,,,
EX_ala__D_e,0.0,ala__D_e --> ,,,
EX_ala__L_e,0.0,ala__L_e --> ,,,
EX_ala_gln_e,0.0,ala_gln_e --> ,,,
EX_ala_his_e,0.0,ala_his_e --> ,,,
EX_ala_leu_e,0.0,ala_leu_e --> ,,,
EX_alaala_e,0.0,alaala_e --> ,,,
EX_alagly_e,0.0,alagly_e --> ,,,
EX_alahis_e,0.0,alahis_e --> ,,,
EX_alaleu_e,0.0,alaleu_e --> ,,,
EX_alathr_e,0.0,alathr_e --> ,,,
EX_alatrp_e,0.0,alatrp_e --> ,,,
EX_all__D_e,0.0,all__D_e --> ,,,
EX_alltn_e,0.0,alltn_e --> ,,,
EX_anhgm_e,0.0,anhgm_e --> ,,,
EX_apc_e,0.0,apc_e --> ,,,
EX_arab__L_e,0.0,arab__L_e --> ,,,
EX_arbt_e,0.0,arbt_e --> ,,,
EX_arg__L_e,0.0,arg__L_e --> ,,,
EX_ascb__L_e,0.0,ascb__L_e --> ,,,
EX_asn__L_e,0.0,asn__L_e --> ,,,
EX_aso3_e,0.0,aso3_e --> ,,,
EX_aso4_e,0.0,aso4_e --> ,,,
EX_asp__L_e,0.0,asp__L_e --> ,,,
EX_balaala_e,0.0,balaala_e --> ,,,
EX_balabala_e,0.0,balabala_e --> ,,,
EX_balagly_e,0.0,balagly_e --> ,,,
EX_balaleu_e,0.0,balaleu_e --> ,,,
EX_balamd_e,0.0,balamd_e --> ,,,
EX_bmn_e,0.0,bmn_e --> ,,,
EX_btd_RR_e,0.0,btd_RR_e --> ,,,
EX_btn_e,0.0,btn_e --> ,,,
EX_but_e,0.0,but_e --> ,,,
EX_buts_e,0.0,buts_e --> ,,,
EX_butso3_e,0.0,butso3_e --> ,,,
EX_bz_e,0.0,bz_e --> ,,,
EX_bzal_e,0.0,bzal_e --> ,,,
EX_ca2_e,0.0,ca2_e --> ,,,
EX_carn_e,0.0,carn_e --> ,,,
EX_catechol_e,0.0,catechol_e --> ,,,
EX_cd2_e,0.0,cd2_e --> ,,,
EX_cellb_e,0.0,cellb_e --> ,,,
EX_cgly_e,0.0,cgly_e --> ,,,
EX_chol_e,0.0,chol_e --> ,,,
EX_chols_e,0.0,chols_e --> ,,,
EX_chsterol_e,0.0,chsterol_e --> ,,,
EX_chtbs_e,0.0,chtbs_e --> ,,,
EX_cinnm_e,0.0,cinnm_e --> ,,,
EX_cit_e,0.0,cit_e --> ,,,
EX_cl_e,0.0,cl_e --> ,,,
EX_cm_e,0.0,cm_e --> ,,,
EX_cmcbtt_e,0.0,cmcbtt_e --> ,,,
EX_co2_e,1000.0,co2_e --> ,,,
EX_cobalt2_e,0.0,cobalt2_e --> ,,,
EX_creat_e,0.0,creat_e --> ,,,
EX_crn_e,0.0,crn_e --> ,,,
EX_crtn_e,0.0,crtn_e --> ,,,
EX_csn_e,0.0,csn_e --> ,,,
EX_ctbt_e,0.0,ctbt_e --> ,,,
EX_cu2_e,0.0,cu2_e --> ,,,
EX_cyan_e,0.0,cyan_e --> ,,,
EX_cys__L_e,0.0,cys__L_e --> ,,,
EX_dca_e,0.0,dca_e --> ,,,
EX_dextrin_e,0.0,dextrin_e --> ,,,
EX_dha_e,0.0,dha_e --> ,,,
EX_dmgly_e,0.0,dmgly_e --> ,,,
EX_dms_e,0.0,dms_e --> ,,,
EX_dmso2_e,0.0,dmso2_e --> ,,,
EX_dmso_e,0.0,dmso_e --> ,,,
EX_doxrbcn_e,0.0,doxrbcn_e --> ,,,
EX_drib_e,0.0,drib_e --> ,,,
EX_dxyl_e,0.0,dxyl_e --> ,,,
EX_eths_e,0.0,eths_e --> ,,,
EX_ethso3_e,0.0,ethso3_e --> ,,,
EX_fald_e,0.0,fald_e --> ,,,
EX_fe2_e,0.0,fe2_e --> ,,,
EX_fe3_e,0.0,fe3_e --> ,,,
EX_fe3dcit_e,0.0,fe3dcit_e --> ,,,
EX_fe3pyovd_kt_e,0.0,fe3pyovd_kt_e --> ,,,
EX_fol_e,0.0,fol_e --> ,,,
EX_forglu_e,0.0,forglu_e --> ,,,
EX_fru_e,0.0,fru_e --> ,,,
EX_frulys_e,0.0,frulys_e --> ,,,
EX_fuc__L_e,0.0,fuc__L_e --> ,,,
EX_fum_e,0.0,fum_e --> ,,,
EX_fusa_e,0.0,fusa_e --> ,,,
EX_g3pc_e,0.0,g3pc_e --> ,,,
EX_g3pg_e,0.0,g3pg_e --> ,,,
