reactions,metabolites,metabolitestotal,gpr,genes
1PY4h3cAH,1py4h3c_c,1py4h3c,protein_3453,protein_3453
24DECOAR,dec4_2_coa_c,dec4_2,protein_6002,protein_6002
2AACLPGT161,2agpg161_c,2agpg161,protein_6902,protein_6902
2AACLPGT161,hdeACP_c,hdeACP,protein_6902,protein_6902
2AACLPPEAT161,2agpe161_c,2agpe161,protein_6902,protein_6902
2AACLPPEAT161,hdeACP_c,hdeACP,protein_6902,protein_6902
2AGPEAT120_num1,2agpe120_c,2agpe120,protein_1362,protein_1362
2AGPEAT120_num1,ddca_c,ddca,protein_1362,protein_1362
2AGPEAT140_num1,2agpe140_c,2agpe140,protein_1362,protein_1362
2AGPEAT140_num1,ttdca_c,ttdca,protein_1362,protein_1362
2AGPEAT141_num1,2agpe141_c,2agpe141,protein_1362,protein_1362
2AGPEAT141_num1,ttdcea_c,ttdcea,protein_1362,protein_1362
2AGPEAT160_num1,2agpe160_c,2agpe160,protein_1362,protein_1362
2AGPEAT160_num1,hdca_c,hdca,protein_1362,protein_1362
2AGPEAT161_num1,2agpe161_c,2agpe161,protein_1362,protein_1362
2AGPEAT161_num1,hdcea_c,hdcea,protein_1362,protein_1362
2AGPEAT180_num1,2agpe180_c,2agpe180,protein_1362,protein_1362
2AGPEAT180_num1,ocdca_c,ocdca,protein_1362,protein_1362
2AGPEAT181_num1,2agpe181_c,2agpe181,protein_1362,protein_1362
2AGPEAT181_num1,ocdcea_c,ocdcea,protein_1362,protein_1362
2AGPGAT120_num1,2agpg120_c,2agpg120,protein_1362,protein_1362
2AGPGAT120_num1,ddca_c,ddca,protein_1362,protein_1362
2AGPGAT141_num1,2agpg141_c,2agpg141,protein_1362,protein_1362
2AGPGAT141_num1,ttdcea_c,ttdcea,protein_1362,protein_1362
2AGPGAT160_num1,2agpg160_c,2agpg160,protein_1362,protein_1362
2AGPGAT160_num1,hdca_c,hdca,protein_1362,protein_1362
2AGPGAT161_num1,2agpg161_c,2agpg161,protein_1362,protein_1362
2AGPGAT161_num1,hdcea_c,hdcea,protein_1362,protein_1362
2AGPGAT180_num1,2agpg180_c,2agpg180,protein_1362,protein_1362
2AGPGAT180_num1,ocdca_c,ocdca,protein_1362,protein_1362
2AGPGAT181_num1,2agpg181_c,2agpg181,protein_1362,protein_1362
2AGPGAT181_num1,ocdcea_c,ocdcea,protein_1362,protein_1362
2DGLCNRx,2dhglcn_c,2dhglcn,protein_6311,protein_6311
2DGLCNRy,2dhglcn_c,2dhglcn,protein_6311,protein_6311
2DGULRGx,2dhguln_c,2dhguln,protein_6311,protein_6311
2DGULRGy,2dhguln_c,2dhguln,protein_6311,protein_6311
2DGULRx,2dhguln_c,2dhguln,protein_6311,protein_6311
2DGULRy,2dhguln_c,2dhguln,protein_6311,protein_6311
2DHGLCK,2dhglcn_c,2dhglcn,protein_6778,protein_6778
2DHGLCNkt_tpp,2dhglcn_p,2dhglcn,protein_8079,protein_8079
2S6HCCi,akg_c,akg,protein_7700,protein_7700
2S6HCCi,ichor_c,ichor,protein_7700,protein_7700
34HPPOR,34hpp_c,34hpp,protein_948,protein_948
3A2OA,akg_c,akg,protein_2160,protein_2160
3A2OA,ala_B_c,ala_B,protein_2160,protein_2160
3AIBT2,ala__L_c,ala__L,protein_5706,protein_5706
3AIBT2,mmtsa_c,mmtsa,protein_5706,protein_5706
3HBCOAHL_num1,3hibutcoa_c,3hibutcoa,protein_1551,protein_1551
3HLYTCL,34dhphe_c,34dhphe,protein_6745,protein_6745
3HOXPACt2pp_num1,3hoxpac_p,3hoxpac,protein_3488,protein_3488
3HPTNCOAR,3hptcoa_c,3hptcoa,protein_7086,protein_7086
3M2OPLOXRD,3mop_c,3mop,protein_4939 and protein_4940,protein_4939
3M2OPLOXRD,3mop_c,3mop,protein_4939 and protein_4940,protein_4940
3M2OPLOXRD,lpam_c,lpam,protein_4939 and protein_4940,protein_4939
3M2OPLOXRD,lpam_c,lpam,protein_4939 and protein_4940,protein_4940
3MBt2pp,3mb_p,3mb,protein_92,protein_92
3MBt4pp,3mb_p,3mb,protein_92,protein_92
3NUCLE1,3amp_c,3amp,protein_294,protein_294
3NUCLE2,3ump_c,3ump,protein_294,protein_294
3NUCLE3,3cmp_c,3cmp,protein_294,protein_294
3NUCLE4,3gmp_c,3gmp,protein_294,protein_294
3OADPCOAT,3oxoadp_c,3oxoadp,protein_3352 and protein_3353,protein_3353
3OADPCOAT,3oxoadp_c,3oxoadp,protein_3352 and protein_3353,protein_3352
3OADPCOAT,succoa_c,succoa,protein_3352 and protein_3353,protein_3353
3OADPCOAT,succoa_c,succoa,protein_3352 and protein_3353,protein_3352
3OXCOAT_num1,oxadpcoa_c,oxadpcoa,protein_4851,protein_4851
3OXOADPt_pp,3oxoadp_p,3oxoadp,protein_1272,protein_1272
3PEPTabcpp_num1,LalaDgluMdap_p,LalaDgluMdap,protein_2993,protein_2993
3SALATAi,3sala_c,3sala,protein_7657,protein_7657
3SALATAi,akg_c,akg,protein_7657,protein_7657
3_4DHBZ1t_pp,34dhbz_p,34dhbz,protein_5299,protein_5299
42A12BOOXpp,dopa_p,dopa,protein_2250,protein_2250
4ABUTD_num1,4abutn_c,4abutn,protein_2164,protein_2164
4ABUTabcpp,4abut_p,4abut,protein_3085 and protein_3086,protein_3085
4ABUTabcpp,4abut_p,4abut,protein_3085 and protein_3086,protein_3086
4CMLCL_kt,4cml_c,4cml,protein_4564,protein_4564
4HALDD,4hoxpacd_c,4hoxpacd,protein_3469,protein_3469
