reactions,data_type,kcat,MW,kcat_MW
PC_num3,DLkcat,28.2,14530.689999999995,6986.5918273667685
FAO2,DLkcat,28.2,52175.83999999977,1945.7281377741201
KARA1_reverse_num1,DLkcat,24.02,12322.17000000001,7017.5951151461095
FACOAL80t2pp_num1,DLkcat,24.02,40350.88999999988,2143.0010589605395
HPHL_reverse_num5,DLkcat,24.02,83523.32999999975,1035.3035493196962
UREAabcpp_num2,DLkcat,23.23,19025.92999999999,4395.475017515572
FDMO4_1,DLkcat,23.23,21695.49999999999,3854.6242308312803
ACPPAT120,DLkcat,22.62,27607.054999999982,2949.680797173043
UREA_1,DLkcat,22.62,30259.45499999995,2691.1257985314055
ALDD19xr_reverse_num2,DLkcat,22.62,27820.429999999953,2927.0575616552346
FACOAL160_num7,DLkcat,22.53,67322.8999999998,1204.7609357291535
ILEabcpp_num5,DLkcat,22.37,36943.99999999987,2179.839757470774
VALabcpp_num2,DLkcat,22.37,36943.99999999987,2179.839757470774
RNDR4_num8,DLkcat,22.37,6840.030000000001,11773.632571786964
HISabcpp_num2,DLkcat,22.37,54233.7799999998,1484.9047954983093
BTNt,DLkcat,22.37,36986.099999999926,2177.358521174175
ALLTNt2rpp_num1,DLkcat,22.37,78502.86499999982,1025.8479101367852
TYROXDApp,DLkcat,22.37,28483.104999999952,2827.360289547089
ETHSabc,DLkcat,22.37,60336.88499999983,1334.705959712707
AACPS2_num1,DLkcat,21.88,28507.144999999975,2763.096760478823
AEPabcpp_num2,DLkcat,21.88,141989.47000000026,554.745362455398
ALDD19xr_reverse_num5,DLkcat,21.88,67971.62999999968,1158.836414545309
NIabc_num4,DLkcat,21.88,41699.96499999994,1888.922448735871
CYSabc_num6,DLkcat,21.88,48697.199999999815,1617.5057292821825
G3PD5_num2,DLkcat,21.69,38703.27999999993,2017.503426066218
GDTPR_num2,DLkcat,21.69,18517.824999999983,4216.6939151871275
ECHA191,DLkcat,21.64,83523.32999999975,932.7214324428902
THZSN_1,DLkcat,21.64,39460.839999999946,1974.2103817354143
SBP,DLkcat,21.64,28897.794999999955,2695.8458249150194
PDE1_num2,DLkcat,21.64,7888.109999999997,9876.130023541764
HEXTT_num1,DLkcat,21.53,28574.014999999978,2712.534447819113
ACACT4r_reverse_num1,DLkcat,21.53,52175.83999999977,1485.5151349743549
METSOXR1_num4,DLkcat,21.53,46494.4899999999,1667.0362445098367
AKGDb,DLkcat,21.53,23686.58999999999,3272.2312498337683
CYSK2_I,DLkcat,21.51,26738.09499999996,2896.0926348717107
SERabcpp,DLkcat,21.51,54233.7799999998,1427.8186030920265
FAS80_L,DLkcat,21.51,18715.144999999982,4137.611544019566
FAS181,DLkcat,21.51,18715.144999999982,4137.611544019566
FE3DCITabcpp_num1,DLkcat,21.51,53698.68999999985,1442.0463515962906
FASC141ACP_num2,DLkcat,21.25,45025.65499999986,1699.0313633416379
TKT2_num6,DLkcat,21.25,26351.384999999966,2903.0732160757434
ME1_num1,DLkcat,21.25,46602.16999999984,1641.5544598030579
BTS_reverse_num2,DLkcat,21.25,9820.195000000002,7790.069341800238
DHFR_reverse_num2,DLkcat,21.25,19417.98499999997,3939.646672916892
SUCRabcpp_syn,DLkcat,21.25,47238.78999999981,1619.431827106501
RHACOART60_reverse,DLkcat,21.25,96481.7349999996,792.8961891077138
ACOAD34f,DLkcat,21.25,45496.90999999988,1681.432870935635
FUM_num2,DLkcat,21.25,45557.044999999875,1679.2133905963437
RHACOAR70_reverse,DLkcat,21.15,96481.7349999996,789.1649129236774
VCACT_num1,DLkcat,21.15,52175.83999999977,1459.29610333059
CYSS_num3,DLkcat,21.15,69171.75999999973,1100.738220337321
ANSN,DLkcat,21.15,32560.39499999996,2338.423719982515
KAS2_num2,DLkcat,21.15,23479.249999999978,3242.863379366891
ADCPS1_num1,DLkcat,21.15,34630.57999999994,2198.6348481602136
FRD2_num7,DLkcat,20.87,13956.619999999997,5383.2518188501235
CYO1b,DLkcat,20.87,14059.284999999998,5343.941743836903
FACOAL180t2pp_num2,DLkcat,20.87,40182.154999999904,1869.785231777643
R5PP_num1,DLkcat,20.87,20306.809999999987,3699.8425651296316
DIPEPabc8_num2,DLkcat,20.75,26216.81499999996,2849.3163643257244
HPPK_num3,DLkcat,20.75,67616.35499999985,1104.7623019608225
3PEPTabcpp_num1,DLkcat,20.75,43477.144999999815,1718.1440961682354
KAS2_num1,DLkcat,20.75,22204.404999999988,3364.1973293137125
MOBDabc_num9,DLkcat,20.64,8271.204999999998,8983.45525228791
ABUTD_num6,DLkcat,20.52,44777.04499999987,1649.7738964239427
XYLabc_num3,DLkcat,20.52,39323.4449999999,1878.5739652260934
FDH_num9,DLkcat,20.52,34303.94999999994,2153.4546313179717
METGL_num2,DLkcat,20.52,16385.824999999997,4508.28688820978
R5PP_num2,DLkcat,20.49,42099.07999999986,1752.1523035657842
PROGLYabcpp_num1,DLkcat,20.49,14945.260000000002,4935.611692268986
RBK2,DLkcat,20.49,21908.19499999999,3366.959258852682
RHACOAR80_reverse,DLkcat,20.36,96481.7349999996,759.6878310697907
SALCOD,DLkcat,20.36,55015.94999999983,1332.2681876801223
PTRCabcpp_num3,DLkcat,20.36,44817.23999999986,1635.4420754156265
ACHBS_num2,DLkcat,20.36,61767.47499999989,1186.6439416537607
VNDH_2_num2,DLkcat,20.26,77023.51999999984,946.9315346792791
MCOATA_num2,DLkcat,20.02,53740.23999999986,1341.1179406716492
SPMDabc_num2,DLkcat,20.02,44817.23999999986,1608.1311566709646
ACSPHAC101_num1,DLkcat,20.02,45750.1799999999,1575.3380642436853
PCNO_reverse,DLkcat,20.02,32038.26999999991,2249.559667235472
ABTpp2,DLkcat,20.01,13398.449999999997,5376.44279748777
NI2abcpp_num1,DLkcat,20.01,74362.45499999978,968.7146558031228
AGPAT120_num2,DLkcat,20.01,26385.25999999996,2730.160703362412
